ID,Organization,Category,Currency,Amount,Start (yyyyMMdd),End (yyyyMMdd)
43294300000,ORG1,CASH-MPA,SYP,500,20250401,20250701
38591500000,ORG1,CASH-MPA,SYP,500,20250401,20250701
17386300000,ORG1,CASH-MPA,SYP,500,20250401,20250701
54598700000,ORG1,CASH-MPA,SYP,500,20250401,20250701
56552200000,ORG1,CASH-MPA,SYP,500,20250401,20250701
59893200000,ORG1,CASH-MPA,SYP,500,20250401,20250701
98099300000,ORG1,CASH-MPA,SYP,500,20250401,20250701
43920900000,ORG1,CASH-MPA,SYP,500,20250401,20250701
83307400000,ORG1,CASH-MPA,SYP,500,20250401,20250701
89685800000,ORG1,CASH-MPA,SYP,500,20250401,20250701
